,site,company,title,price,ratingreview,url,status,redirect_url
10,flipkart,mi,"REDMI 10A (Slate grey, 64 GB)","₹8,543",4.2,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/h/c/6/10a-b09xb7hv7q-redmi-original-imagdrgp8pkbzccw.jpeg?q=70,Available,https://www.flipkart.com/redmi-10a-slate-grey-64-gb/p/itm755830dd54ae1?pid=MOBGDRGV2UAGZYZG&lid=LSTMOBGDRGV2UAGZYZGY9HL1W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGDRGV2UAGZYZG.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
11,flipkart,mi,"REDMI 10A (Sea Blue, 64 GB)","₹8,599",4.2,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/n/t/p/10a-b09xb6tk6v-redmi-original-imagdrghghkneesf.jpeg?q=70,Available,https://www.flipkart.com/redmi-10a-sea-blue-64-gb/p/itm755830dd54ae1?pid=MOBGHXQYZRHMKQJ5&lid=LSTMOBGHXQYZRHMKQJ5QEMHLG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGHXQYZRHMKQJ5.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
12,flipkart,mi,"Redmi Note 11 (Horizon Blue, 64 GB)","₹12,575",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/5/r/redmi-note-11-2201117ti-mi-original-imaggghwgnzxzzvm.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGBGAHFYVRWZAU&lid=LSTMOBGBGAHFYVRWZAUUYMR5M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGBGAHFYVRWZAU.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
13,flipkart,mi,"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹22,495",4.2,https://rukminim1.flixcart.com/image/312/312/l13whow0/mobile/t/q/j/note-11-pro-plus-5g-2201116si-redmi-original-imagcqrqw5rwhguk.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-128-gb/p/itmd029928dc2e7e?pid=MOBGCQRYPFFZE9GA&lid=LSTMOBGCQRYPFFZE9GAWZQTE7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGCQRYPFFZE9GA.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
14,flipkart,mi,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)","₹22,999",4.2,https://rukminim1.flixcart.com/image/312/312/l13whow0/mobile/0/6/7/note-11-pro-plus-5g-2201116si-redmi-original-imagcqr7spupzwtz.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-pro-plus-5g-mirage-blue-128-gb/p/itmd029928dc2e7e?pid=MOBGCQSU8SPQYSCW&lid=LSTMOBGCQSU8SPQYSCWES202L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGCQSU8SPQYSCW.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
15,flipkart,mi,"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)","₹21,534",4.2,https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/mobile/f/z/p/note-11-pro-5g-2201116si-redmi-original-imagd5gcaqg9cvme.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-pro-plus-5g-phantom-white-128-gb/p/itmd029928dc2e7e?pid=MOBGDE3GW7YDYDDV&lid=LSTMOBGDE3GW7YDYDDVES1Y7T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGDE3GW7YDYDDV.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
16,flipkart,mi,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)","₹22,300",4.2,https://rukminim1.flixcart.com/image/312/312/l13whow0/mobile/0/6/7/note-11-pro-plus-5g-2201116si-redmi-original-imagcqr7spupzwtz.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-pro-plus-5g-mirage-blue-128-gb/p/itmd029928dc2e7e?pid=MOBGHXQYHGUWNEJF&lid=LSTMOBGHXQYHGUWNEJFW1YMVE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGHXQYHGUWNEJF.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
17,flipkart,mi,"REDMI 10A (Sea Blue, 64 GB)","₹8,569",4.2,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/n/t/p/10a-b09xb6tk6v-redmi-original-imagdrghghkneesf.jpeg?q=70,Available,https://www.flipkart.com/redmi-10a-sea-blue-64-gb/p/itm755830dd54ae1?pid=MOBGDRGY2TNHJQTW&lid=LSTMOBGDRGY2TNHJQTWJ1SRS6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGDRGY2TNHJQTW.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
18,flipkart,mi,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹17,919",4.2,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/mobile/t/q/o/note-11t-5g-21091116ai-mzb0a8qin-redmi-original-imag9g3wygd8829v.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11t-5g-aquamarine-blue-128-gb/p/itm0dd08e65983e7?pid=MOBG9G5HY4X7WVFY&lid=LSTMOBG9G5HY4X7WVFY9TNQGC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG9G5HY4X7WVFY.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
19,flipkart,mi,"Redmi Note 11 PRO Plus 5G (Stealth Black, 256 GB)","₹24,199",4.2,https://rukminim1.flixcart.com/image/312/312/l13whow0/mobile/t/q/j/note-11-pro-plus-5g-2201116si-redmi-original-imagcqrqw5rwhguk.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-256-gb/p/itmd029928dc2e7e?pid=MOBGHXQYBHYSGSWZ&lid=LSTMOBGHXQYBHYSGSWZTOR7UU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGHXQYBHYSGSWZ.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
20,flipkart,mi,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,861",4.2,https://rukminim1.flixcart.com/image/312/312/ku5ufm80/mobile/s/i/q/sport-9a-redmi-original-imag7chxqqu7h5hs.jpeg?q=70,Available,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CJZZRCJ3XHG&lid=LSTMOBG7CJZZRCJ3XHGG7UNWC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG7CJZZRCJ3XHG.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
21,flipkart,mi,"Redmi Note 11 (Space Black, 64 GB)","₹12,759",4.2,https://rukminim1.flixcart.com/image/312/312/kzhbfrk0/mobile/k/d/j/note-11-2201117ti-redmi-original-imagbh8dmpjfzrjw.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGHXQYQMXSVSJX&lid=LSTMOBGHXQYQMXSVSJXZIZSGQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGHXQYQMXSVSJX.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
22,flipkart,mi,"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹24,379",4.2,https://rukminim1.flixcart.com/image/312/312/kua4r680/mobile/n/1/g/11lite5g-11-lite-ne-5g-redmi-original-imag7f6chqmz5hzd.jpeg?q=70,Available,https://www.flipkart.com/xiaomi-11lite-ne-vinyl-black-128-gb/p/itme31941c31379f?pid=MOBG7F6CXRFJ8CF8&lid=LSTMOBG7F6CXRFJ8CF8XFKBWX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG7F6CXRFJ8CF8.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
23,flipkart,mi,"Redmi Note 11 (Horizon Blue, 128 GB)","₹15,318",4.2,https://rukminim1.flixcart.com/image/312/312/kzhbfrk0/mobile/s/2/3/note-11-2201117ti-redmi-original-imagbh7rzbvfgqex.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-horizon-blue-128-gb/p/itm2a388ca843b21?pid=MOBGBGAMRJGHTKUM&lid=LSTMOBGBGAMRJGHTKUMAL9UPA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBGBGAMRJGHTKUM.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
24,flipkart,mi,"REDMI Note 11T 5G (Matte black, 128 GB)","₹17,999",4.2,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/mobile/n/t/m/note-11t-21091116ai-mzb0a8qain-redmi-original-imag9g3hxujubg8g.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11t-5g-matte-black-128-gb/p/itm0dd08e65983e7?pid=MOBG9G5UBHV9HC8Y&lid=LSTMOBG9G5UBHV9HC8YZDCDC0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBG9G5UBHV9HC8Y.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
25,flipkart,mi,"REDMI Note 11T 5G (Stardust White, 128 GB)","₹17,988",4.2,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/mobile/g/h/4/note-11t-21091116ai-mzb0a8qin-redmi-original-imag9g37hzxggjgg.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11t-5g-stardust-white-128-gb/p/itm0dd08e65983e7?pid=MOBG9G6YVZYQY7ZZ&lid=LSTMOBG9G6YVZYQY7ZZRQCRTH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBG9G6YVZYQY7ZZ.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
26,flipkart,mi,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹24,999",4.2,https://rukminim1.flixcart.com/image/312/312/ky7lci80/mobile/k/b/g/-original-imagagf6fzbhuhny.jpeg?q=70,Available,https://www.flipkart.com/xiaomi-11i-hypercharge-5g-purple-mist-128-gb/p/itm3440833915be9?pid=MOBG9QWVVTFZB2SY&lid=LSTMOBG9QWVVTFZB2SYIHH3NV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBG9QWVVTFZB2SY.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
27,flipkart,mi,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹26,999",4.2,https://rukminim1.flixcart.com/image/312/312/ky7lci80/mobile/k/b/g/-original-imagagf6fzbhuhny.jpeg?q=70,Available,https://www.flipkart.com/xiaomi-11i-hypercharge-5g-purple-mist-128-gb/p/itm40cdac3d36676?pid=MOBG9QWVFHFSWPTH&lid=LSTMOBG9QWVFHFSWPTHH5M4AG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBG9QWVFHFSWPTH.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
28,flipkart,mi,"Redmi Note 11 (Horizon Blue, 64 GB)","₹11,989",4.2,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/mobile/h/s/h/note-11-2201117ti-redmi-original-imagbgaezsnhsmnf.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGBGAETVKA2NEZ&lid=LSTMOBGBGAETVKA2NEZYX3LOA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBGBGAETVKA2NEZ.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
29,flipkart,mi,"Redmi Note 11 (Starburst White, 64 GB)","₹12,494",4.2,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/mobile/t/f/s/note-11-2201117ti-redmi-original-imagbgaqje2mygjm.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-starburst-white-64-gb/p/itm2a388ca843b21?pid=MOBGBGARKRPMV86Z&lid=LSTMOBGBGARKRPMV86ZANLYA8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBGBGARKRPMV86Z.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
30,flipkart,mi,"Redmi Note 11 (Starburst White, 64 GB)","₹12,989",4.2,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/mobile/t/f/s/note-11-2201117ti-redmi-original-imagbgaqje2mygjm.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-starburst-white-64-gb/p/itm2a388ca843b21?pid=MOBGHXQY3QFVDXFP&lid=LSTMOBGHXQY3QFVDXFPUA5LXP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBGHXQY3QFVDXFP.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
31,flipkart,mi,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹16,724",4.2,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/mobile/t/q/o/note-11t-5g-21091116ai-mzb0a8qin-redmi-original-imag9g3wygd8829v.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11t-5g-aquamarine-blue-128-gb/p/itm0dd08e65983e7?pid=MOBG9G3W5TBBXNTK&lid=LSTMOBG9G3W5TBBXNTKZ74HTY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBG9G3W5TBBXNTK.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
32,flipkart,mi,"Redmi 8A Dual (Sea Blue, 64 GB)","₹8,990",4.2,https://rukminim1.flixcart.com/image/312/312/k8xduvk0pkrrdj/mobile/a/y/t/redmi-8a-dual-8a-dual-original-imafqyfqhfvtyc39.jpeg?q=70,Available,https://www.flipkart.com/redmi-8a-dual-sea-blue-64-gb/p/itm327a389472f73?pid=MOBFSWAEMHSGYYZC&lid=LSTMOBFSWAEMHSGYYZC2KJZTA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBFSWAEMHSGYYZC.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
33,flipkart,mi,"Redmi Note 11 (Space Black, 64 GB)","₹12,512",4.2,https://rukminim1.flixcart.com/image/312/312/kzhbfrk0/mobile/k/d/j/note-11-2201117ti-redmi-original-imagbh8dmpjfzrjw.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCHRPUQY9AT&lid=LSTMOBGBHCHRPUQY9ATLWDH3J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBGBHCHRPUQY9AT.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
34,flipkart,mi,"Redmi Note 11 (Horizon Blue, 64 GB)","₹12,689",4.2,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/mobile/h/s/h/note-11-2201117ti-redmi-original-imagbgaezsnhsmnf.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGHXQYGGYHPYTP&lid=LSTMOBGHXQYGGYHPYTPFHFNGQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=921e4748-6be1-40e9-9261-286ca73cfd01.MOBGHXQYGGYHPYTP.SEARCH&ppt=None&ppn=None&ssid=jqbvqv5pnk0000001667142584595
